time,x,y,z
1669192294.808613, -88.375789, -38.011247, 0.555000
1669192295.807582, -88.890797, -38.630589, 0.590000
1669192296.807326, -89.529186, -39.346045, 0.633000
1669192297.808146, -90.177147, -40.043769, 0.658000
1669192298.804488, -90.844369, -40.739501, 0.718000
1669192299.805632, -91.513772, -41.440376, 0.732000
1669192300.807270, -92.178454, -42.153906, 0.774000
1669192301.806342, -92.713008, -42.840976, 0.838000
1669192302.807928, -93.234607, -43.654953, 0.848000
1669192303.808049, -93.817883, -44.516155, 0.863000
1669192304.804050, -94.351024, -45.331600, 0.853000
1669192305.805401, -94.921327, -46.124592, 0.794000
1669192306.806452, -95.458144, -46.962724, 0.796000
1669192307.803950, -96.047640, -47.784981, 0.725000
1669192308.808384, -96.559327, -48.605414, 0.659000
1669192309.806413, -97.093792, -49.384218, 0.651000
1669192310.808179, -97.613744, -50.171591, 0.664000
1669192311.808104, -98.132979, -51.013719, 0.608000
1669192312.809199, -98.528050, -51.810606, 0.582000
1669192313.808116, -99.023142, -52.684399, 0.552000
1669192314.809881, -99.449657, -53.562684, 0.403000
1669192315.807052, -99.823149, -54.330716, 0.357000
1669192316.807088, -100.135570, -55.096085, 0.359000
1669192317.808955, -100.314725, -55.949897, 0.354000
1669192318.808024, -100.358040, -56.819698, 0.340000
1669192319.808433, -100.239305, -57.659326, 0.347000
1669192320.806252, -99.951859, -58.525857, 0.327000
1669192321.808823, -99.633285, -59.391437, 0.348000
1669192322.809876, -99.271779, -60.239065, 0.338000
1669192323.807605, -98.896166, -61.075095, 0.328000
1669192324.806520, -98.490865, -61.915698, 0.320000
1669192325.806149, -98.059241, -62.765255, 0.313000
1669192326.807865, -97.618536, -63.608492, 0.298000
1669192327.808001, -97.187195, -64.483566, 0.278000
1669192328.808791, -96.779061, -65.315894, 0.302000
1669192329.806795, -96.341474, -66.246003, 0.320000
1669192330.809427, -95.935108, -67.067944, 0.313000
1669192331.808327, -95.509861, -67.949572, 0.319000
1669192332.809760, -95.100992, -68.844424, 0.337000
1669192333.809067, -94.685686, -69.730138, 0.349000
1669192334.806575, -94.282747, -70.639500, 0.330000
1669192335.808268, -93.882605, -71.519778, 0.344000
1669192336.807170, -93.472787, -72.376362, 0.352000
1669192337.807131, -93.084139, -73.246459, 0.337000
1669192338.806672, -92.688281, -74.132397, 0.356000
1669192339.807228, -92.289670, -75.032439, 0.334000
1669192340.807920, -91.882255, -75.924861, 0.332000
1669192341.808371, -91.515303, -76.813084, 0.339000
1669192342.807451, -91.143515, -77.689553, 0.321000
1669192343.807589, -90.761990, -78.609278, 0.325000
1669192344.806394, -90.379933, -79.480002, 0.321000
1669192345.806985, -90.008933, -80.358861, 0.304000
