time,x,y,z
1669186339.706117, 8.719943, -8.126343, 4.071404
1669186339.808503, 8.800501, -8.138805, 4.125408
1669186339.906115, 8.853768, -8.172998, 4.185410
1669186340.006112, 8.879931, -8.217829, 4.153411
1669186340.107743, 8.933009, -8.263115, 4.163414
1669186340.207166, 8.986088, -8.308402, 4.193416
1669186340.307435, 9.048702, -8.320560, 4.285418
1669186340.403338, 9.120289, -8.332870, 4.344421
1669186340.513104, 9.182339, -8.378309, 4.434424
1669186340.607322, 9.235230, -8.434689, 4.515426
1669186340.708100, 9.270177, -8.490765, 4.514428
1669186340.808269, 9.323067, -8.547145, 4.545431
1669186340.908115, 9.393901, -8.603829, 4.537434
1669186341.006122, 9.428660, -8.670998, 4.506436
1669186341.107335, 9.454635, -8.726922, 4.480438
1669186341.207386, 9.498742, -8.772056, 4.425440
1669186341.303160, 9.561168, -8.795308, 4.415442
1669186341.406903, 9.623971, -8.796373, 4.459445
1669186341.514079, 9.722849, -8.786952, 4.444448
1669186341.608105, 9.812379, -8.799566, 4.432451
1669186341.707337, 9.883777, -8.822970, 4.482454
1669186341.807669, 9.946203, -8.846222, 4.594457
1669186341.907133, 10.008630, -8.869473, 4.668459
1669186342.007395, 10.061897, -8.903666, 4.689462
1669186342.107284, 10.106191, -8.937707, 4.650464
1669186342.203348, 10.141138, -8.993783, 4.722465
1669186342.307278, 10.176461, -9.027672, 4.826467
1669186342.407280, 10.221132, -9.039526, 4.830469
1669186342.512232, 10.274587, -9.062625, 4.774471
1669186342.607454, 10.309346, -9.129795, 4.811473
1669186342.708167, 10.335133, -9.196812, 4.827475
1669186342.806058, 10.361296, -9.241642, 4.846476
1669186342.907297, 10.405779, -9.264590, 4.792478
1669186343.007727, 10.459610, -9.265502, 4.712480
1669186343.103399, 10.540356, -9.266871, 4.728483
1669186343.208078, 10.621102, -9.268240, 4.724486
1669186343.308304, 10.683717, -9.280398, 4.695488
1669186343.408059, 10.746895, -9.259275, 4.696490
1669186343.609035, 10.836989, -9.238609, 4.632493
1669186343.707386, 10.836801, -9.249703, 4.587493
1669186343.807233, 10.828017, -9.238457, 4.597493
1669186343.907244, 10.845585, -9.260948, 4.671494
1669186344.003242, 10.889880, -9.294989, 4.760496
1669186344.107234, 10.915667, -9.362007, 4.853498
1669186344.207092, 10.950614, -9.418082, 4.988499
1669186344.307387, 10.985937, -9.451971, 5.080501
1669186344.407772, 11.048551, -9.464129, 5.136503
1669186344.513007, 11.110978, -9.487381, 5.186506
1669186344.606007, 11.146677, -9.499083, 5.148507
1669186344.707065, 11.182188, -9.521878, 5.150509
1669186344.828454, 11.226295, -9.567013, 5.075511
1669186344.901999, 11.261430, -9.611995, 4.981513
1669186345.005996, 11.314508, -9.657281, 4.942515
1669186345.106016, 11.394690, -9.691931, 4.936518
1669186345.205990, 11.475249, -9.704393, 4.926522
1669186345.304994, 11.565343, -9.683727, 4.929525
1669186345.405341, 11.628333, -9.673698, 4.958527
1669186345.511202, 11.699920, -9.686008, 4.916529
1669186345.605291, 11.734867, -9.742084, 4.913531
1669186345.707209, 11.788133, -9.776277, 4.845534
1669186345.801980, 11.850184, -9.821716, 4.760536
1669186345.905974, 11.893914, -9.889037, 4.714539
1669186346.006782, 11.919513, -9.967148, 4.669540
1669186346.105968, 11.946053, -9.989791, 4.647542
1669186346.204971, 11.963996, -9.990095, 4.676542
1669186346.307230, 12.018391, -9.957727, 4.694544
1669186346.404963, 12.108673, -9.925968, 4.719547
1669186346.509960, 12.207175, -9.938734, 4.796551
1669186346.605970, 12.305865, -9.940407, 4.834554
1669186346.701958, 12.404366, -9.953173, 4.920558
1669186346.805952, 12.502492, -9.988127, 5.056562
1669186346.905950, 12.564730, -10.022472, 5.159564
1669186347.005944, 12.608837, -10.067606, 5.320567
1669186347.105267, 12.634436, -10.145717, 5.448568
1669186347.207302, 12.678167, -10.213038, 5.492571
1669186347.305248, 12.766569, -10.292214, 5.523575
1669186347.404938, 12.864506, -10.338261, 5.537579
1669186347.512048, 12.953472, -10.384156, 5.502582
1669186347.602771, 13.006174, -10.451629, 5.513585
1669186347.704934, 13.049905, -10.518950, 5.486587
1669186347.805936, 13.111956, -10.564389, 5.462590
1669186347.905924, 13.174006, -10.609828, 5.413593
1669186348.004920, 13.236244, -10.644173, 5.393596
1669186348.105927, 13.289887, -10.656179, 5.355598
1669186348.204926, 13.353066, -10.635056, 5.347600
1669186348.304395, 13.397925, -10.635817, 5.325601
1669186348.405919, 13.469511, -10.648127, 5.303604
1669186348.507948, 13.577173, -10.649952, 5.326608
1669186348.605906, 13.730069, -10.630350, 5.402613
1669186348.708408, 13.810439, -10.653906, 5.524617
1669186348.804906, 13.882026, -10.666216, 5.621619
1669186348.907224, 13.962396, -10.689772, 5.777622
1669186349.007116, 14.042578, -10.724421, 5.997626
1669186349.107142, 14.140516, -10.770468, 6.105630
1669186349.204900, 14.247425, -10.816667, 6.134634
1669186349.304891, 14.326667, -10.906784, 6.134638
1669186349.401935, 14.414880, -10.997053, 6.114642
1669186349.509887, 14.476555, -11.064678, 6.137645
1669186349.605886, 14.547013, -11.143549, 6.202649
1669186349.704882, 14.635979, -11.189444, 6.264652
1669186349.805879, 14.752048, -11.224702, 6.371657
1669186349.905878, 14.850173, -11.259655, 6.424661
1669186350.008324, 14.966619, -11.272726, 6.379665
1669186350.105871, 15.065120, -11.285492, 6.345669
1669186350.205871, 15.172406, -11.309504, 6.298673
